Image,Brightness_Raw,Brightness_Enhanced,Contrast_Raw,Contrast_Enhanced,Sharpness_Raw,Sharpness_Enhanced
vid_000002_frame0000013.jpg,90.36143518518519,112.79959104938271,19.666351153514213,23.051287051036923,2554.71123171719,2335.6730736239115
vid_000002_frame0000014.jpg,87.26065586419753,108.8214274691358,19.15810714352878,22.696007068451948,2514.444798842057,2252.358377095658
vid_000002_frame0000015.jpg,84.00002314814814,107.85652006172839,18.70673093853845,22.71200479843432,2645.198693272509,2431.89558532998
vid_000002_frame0000016.jpg,81.2884799382716,105.78699074074073,18.28167249971794,22.40391480657807,2728.2455630738814,2467.117481090856
vid_000002_frame0000017.jpg,80.35175154320987,105.01036265432099,18.255265539726434,21.98098207931008,2652.106082807261,2413.5311682655442
vid_000002_frame0000018.jpg,80.92063271604938,103.96850308641976,18.646146051198713,22.80295550031559,2697.6269481523755,2542.4695732729383
vid_000002_frame0000019.jpg,81.70596450617283,106.48751543209876,18.887102078362716,22.316884109520903,2681.8762267982684,2408.0413310613258
vid_000002_frame0000020.jpg,81.94920524691358,104.82770061728395,19.51837623734212,23.108744295671187,2773.2300113623587,2471.476643136943
vid_000002_frame0000021.jpg,82.15158179012346,105.94688271604939,20.011799215399055,22.699999038148075,2752.2296057050544,2419.7921199916527
vid_000002_frame0000022.jpg,82.72876543209877,104.03060956790124,21.034981439375088,23.940689247275227,2794.11282748146,2579.755684102795
vid_000002_frame0000023.jpg,85.13036265432099,107.4986574074074,22.160717755581743,24.257545244394883,2736.099089002248,2553.008437514229
vid_000003_frame0000001.jpg,82.55976080246914,103.91631944444444,18.733612417311395,23.132690493719103,2721.643350300009,2694.61790184179
vid_000003_frame0000002.jpg,82.66942129629629,106.63906635802469,18.4502250012622,22.082820330699207,2607.462310030328,2431.1371459232946
vid_000003_frame0000003.jpg,82.40329475308641,105.66826388888889,18.748318853262933,22.813316224088055,2753.3943867052944,2524.7891082952297
vid_000003_frame0000004.jpg,82.59527777777778,106.35730709876543,18.51756913283993,22.233771509261775,2637.4182376828394,2513.875322054505
vid_000003_frame0000005.jpg,83.50500771604938,106.6236188271605,18.919414621339055,22.51313565515801,2754.7818153747044,2529.5941234562542
vid_000003_frame0000006.jpg,84.46306327160494,108.6892438271605,18.88377201606286,22.968025044139136,2636.8593539930557,2530.34468475598
vid_000003_frame0000007.jpg,86.32581790123457,109.31708333333333,19.5126885778137,23.26723073468256,2667.1416541914336,2455.0143173846877
vid_000003_frame0000008.jpg,86.8050848765432,110.05411265432099,19.2989295681746,23.26060648617299,2570.997103151196,2368.8444484224965
vid_000003_frame0000010.jpg,84.88262345679013,109.10328703703703,18.476278265645742,21.91582124121451,2575.2079042694877,2302.4512027258015
vid_000003_frame0000011.jpg,83.55483796296296,107.81750771604938,18.192607258092526,21.246403994027077,2655.351320826664,2301.783624227859
vid_000003_frame0000012.jpg,83.05576388888889,107.19818672839506,17.940583948849966,21.413484879276634,2678.6145947139707,2307.7522381077583
vid_000003_frame0000013.jpg,82.2740200617284,107.49763888888889,17.938423853601222,21.156539440367393,2622.892195095486,2341.5212669410153
vid_000003_frame0000014.jpg,82.17163580246914,106.38502314814815,18.41431108892499,21.354474610233186,2630.8874388850786,2277.2355389874238
vid_000003_frame0000015.jpg,83.15978395061728,107.32135030864198,18.58145962858223,21.77227568741415,2666.933507277854,2271.5077228928512
vid_000003_frame0000016.jpg,84.0375,108.62684413580247,18.86892690091239,21.537444211368378,2615.2831498599085,2228.177107024225
vid_000003_frame0000017.jpg,85.68843364197531,109.96605709876543,19.456636309143356,21.952569818699768,2650.0695858309873,2243.239073128858
vid_000003_frame0000018.jpg,86.65906635802469,110.21404320987655,19.68604092124681,22.396067301337396,2561.0758367567355,2220.7871949567043
vid_000003_frame0000019.jpg,86.52738425925926,109.98135030864198,19.583215289885345,22.253951293571813,2543.603651746828,2176.7408831775238
vid_000003_frame0000020.jpg,85.95081018518519,109.09207561728395,19.764306315364337,22.401402324252995,2471.985401576968,2235.5409291257047
vid_000003_frame0000021.jpg,85.31838734567901,109.39364969135802,19.94353127415746,22.154023854487136,2581.5038038692173,2193.218988425867
vid_000003_frame0000022.jpg,84.37851851851852,107.3500848765432,20.108799244720505,22.674290197260554,2679.3882675920568,2284.954320420322
vid_000003_frame0000023.jpg,83.37848765432099,107.33136574074074,19.248386260638487,21.96886273275325,2661.3266698444763,2313.68660723588
vid_000004_frame0000010.jpg,83.19015432098766,106.67289351851852,18.950154287156852,22.753122492086582,2663.713905904147,2381.9201569215224
vid_000004_frame0000011.jpg,83.44734567901234,107.05104166666666,18.92106138519281,22.128787839141694,2735.745706399498,2325.9804757415386
vid_000004_frame0000012.jpg,83.07498456790124,106.23722993827161,19.04063095894085,22.797799697130024,2731.441071901196,2463.301351017137
vid_000004_frame0000013.jpg,82.55929783950617,104.68528549382717,18.84336145180225,23.001836805922064,2682.4306188185274,2402.5569266326947
vid_000004_frame0000014.jpg,81.88186728395061,104.35828703703703,19.083198970115145,23.176737968666494,2711.327132473077,2496.4542583061248
vid_000004_frame0000015.jpg,82.2044212962963,106.25731481481482,18.475156255415424,22.274735014142692,2725.3854981138547,2486.908943710884
vid_000004_frame0000016.jpg,82.31479938271605,105.52381172839506,18.540679502390685,22.628282879794718,2679.1007865073916,2579.399425618653
vid_000004_frame0000017.jpg,83.08344135802469,106.52378858024692,18.87288244706565,22.384245220767436,2734.497016574979,2497.3329692034367
vid_000004_frame0000018.jpg,83.44729938271605,105.26132716049382,19.034869735693345,22.979382427671194,2721.033042569492,2615.6808473305805
vid_000005_frame0000007.jpg,79.87880401234568,104.52958333333333,18.313203463634583,21.337015484004798,2762.1301635650048,2230.8150154168575
vid_000005_frame0000008.jpg,81.59190586419753,104.43671296296296,18.83785575602928,22.610813354530443,2798.6872494164745,2403.502590234375
vid_000005_frame0000009.jpg,83.63001543209876,107.90179783950617,18.977064055984712,22.21624523458743,2672.197255014896,2277.0606113039526
vid_000005_frame0000010.jpg,85.46523919753086,107.68184413580246,19.524087568701265,22.926569658161274,2589.816678274975,2349.189421401975
vid_000005_frame0000011.jpg,86.82398919753086,109.60756944444445,19.95281509919338,23.169970849895176,2714.8965744455277,2326.079359156141
vid_000005_frame0000012.jpg,85.78703703703704,108.0005324074074,19.913990642752044,22.900407862570873,2743.182498170951,2357.8231698521568
vid_000020_frame0000002.jpg,70.55422839506173,96.4633487654321,18.93787823703266,21.08815819236625,3088.7329619850616,2118.203936575443
vid_000020_frame0000003.jpg,71.74224537037037,97.52736882716049,19.358947094628697,21.355487072595505,3023.4812813994986,2143.620265721451
vid_000020_frame0000004.jpg,72.49024691358025,97.6705787037037,19.748609826073594,21.780009986329397,2970.9535306048524,2056.262550147117
vid_000021_frame0000001.jpg,79.37459104938272,102.27349537037037,28.76598102916731,26.967926044820896,2921.8796232472187,2010.0328607238205
vid_000021_frame0000007.jpg,79.65049382716049,103.8388425925926,28.6181866612968,26.981366178950804,2881.822517990719,1939.0647871046715
vid_000021_frame0000010.jpg,79.87559413580247,103.20263888888888,28.779346697399184,26.68124576837286,2964.9280337276496,1953.953539647098
vid_000021_frame0000013.jpg,80.65550154320988,104.61045524691357,28.691597978828252,27.138457979227212,2898.7790421495743,1916.9272966811463
vid_000021_frame0000015.jpg,81.04506944444445,105.68458333333334,28.71546903058371,27.032217632006567,2870.4193917561515,1954.1667950740525
vid_000021_frame0000016.jpg,81.0070524691358,105.72706790123456,28.70756013500023,27.297693827801226,2788.9100775024767,1999.2604190314332
vid_000021_frame0000017.jpg,81.95900462962963,106.32778549382716,28.76089584079038,27.341736279562564,2854.479946552009,1949.7926604890047
vid_000021_frame0000018.jpg,82.2226774691358,105.72238425925926,28.773020943049822,27.349066816530705,2799.7683993436,1963.570162172723
vid_000021_frame0000019.jpg,82.8878549382716,106.7390586419753,28.744207157096337,27.06304389370969,2755.1624830574965,1917.0061505906112
vid_000021_frame0000020.jpg,82.57808641975309,105.97951388888889,28.798940867741,27.129217344300834,2827.1776236877354,1955.5121206409087
vid_000021_frame0000021.jpg,82.61087962962964,106.78650462962963,28.83995570755798,27.074931716310566,2862.433887831266,1939.8950178954594
vid_000021_frame0000022.jpg,82.25939814814815,104.9664737654321,28.915270212979618,27.2491444718616,2823.0483832866557,1969.8680358308093
vid_000021_frame0000023.jpg,82.83756172839506,105.77559413580246,28.937397354630388,27.42445749436013,2825.3368406111877,1994.0514475946286
vid_000021_frame0000024.jpg,82.92031635802469,106.58030864197531,28.938713991684395,27.706356535952768,2813.086652719669,2050.0747080008764
