Method,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
CLAHE,25.367,0.873,141.314,98.115,35.155,3214.098
FUNIEGAN,17.468,0.712,168.482,110.883,40.502,3933.611
HE,12.44,0.64,285.605,126.403,74.19,5503.858
