image_name,raw_brightness,enhanced_brightness,raw_contrast,enhanced_contrast,raw_sharpness,enhanced_sharpness
vid_000002_frame0000013.jpg,91.4908487654321,112.93703206380208,22.633059772155587,29.373131005701,2554.71123171719,12544.130901593482
vid_000002_frame0000014.jpg,88.59265174897119,109.00357564290364,22.300260914321793,29.016172830993273,2514.444798842057,12253.62040218315
vid_000002_frame0000015.jpg,85.84908436213992,108.09368896484375,22.14377768376727,29.466372553414892,2645.198693272509,13033.066526118433
vid_000002_frame0000016.jpg,83.4899794238683,105.97561645507812,22.043826118857506,29.44116906025972,2728.2455630738814,13149.887881109258
vid_000002_frame0000017.jpg,82.73939814814815,105.28291320800781,21.95337484127953,28.929928938105,2652.106082807261,13059.891355901724
vid_000002_frame0000018.jpg,83.16365997942387,104.16998291015625,22.341165428769862,29.871070437058286,2697.6269481523755,13669.677637787303
vid_000002_frame0000019.jpg,83.88179783950618,106.66808573404948,22.48279078860799,28.921589334339153,2681.8762267982684,12514.735120273195
vid_000002_frame0000020.jpg,83.94730967078189,105.09356180826823,23.105666681199764,29.960387965759082,2773.2300113623587,13597.707259595394
vid_000002_frame0000021.jpg,84.38189814814815,106.16851806640625,23.439436723775973,29.595007427216906,2752.2296057050544,13187.132064900361
vid_000002_frame0000022.jpg,84.70256687242798,104.3175048828125,24.257281915364178,31.016503653984266,2794.11282748146,14374.965027599595
vid_000002_frame0000023.jpg,86.91531378600823,107.73974609375,25.126174891234697,31.01427248705064,2736.099089002248,13975.415337662911
vid_000003_frame0000001.jpg,84.5808024691358,104.19054158528645,22.355617769547344,30.92928558573136,2721.643350300009,15214.00915299356
vid_000003_frame0000002.jpg,84.77397890946501,106.85240681966145,22.12625115296121,29.064460859194853,2607.462310030328,12930.798160008155
vid_000003_frame0000003.jpg,84.46815072016462,105.9135030110677,22.44361783465731,30.009838019746567,2753.3943867052944,13904.020197435282
vid_000003_frame0000004.jpg,84.76090534979424,106.55448404947917,22.257123620433052,29.44204263197732,2637.4182376828394,13557.082681185566
vid_000003_frame0000005.jpg,85.55156635802469,106.84909057617188,22.528659282320113,29.553189060912167,2754.7818153747044,13654.684054239653
vid_000003_frame0000006.jpg,86.2623353909465,108.87209574381511,22.44924126176822,29.83845143024065,2636.8593539930557,13650.626933171414
vid_000003_frame0000007.jpg,87.9189017489712,109.51953125,22.96079891373137,29.909228435339664,2667.1416541914336,13291.9435973668
vid_000003_frame0000008.jpg,88.31012088477367,110.24191792805989,22.81308533689092,29.679204626538343,2570.997103151196,12840.195660426281
vid_000003_frame0000010.jpg,86.67522890946502,109.2654520670573,22.115099202366746,28.374974909845115,2575.2079042694877,12316.017363219522
